央视频道,#genre#
CCTV-1,http://111.48.34.138/000000001000PLTV/88888888/224/3221230563/1.m3u8
CCTV-2,http://111.48.34.138/000000001000PLTV/88888888/224/3221230359/1.m3u8
CCTV-3,http://111.48.34.138/000000001000PLTV/88888888/224/3221230394/1.m3u8
CCTV-4,http://111.48.34.138/000000001000PLTV/88888888/224/3221230489/1.m3u8
CCTV-5,http://111.48.34.138/000000001000PLTV/88888888/224/3221230400/1.m3u8
CCTV5+,http://111.48.34.138/000000001000PLTV/88888888/224/3221230455/1.m3u8
CCTV-6,http://111.48.34.138/000000001000PLTV/88888888/224/3221230451/1.m3u8
CCTV-7,http://111.48.34.138/000000001000PLTV/88888888/224/3221230442/1.m3u8
CCTV-8,http://111.48.34.138/000000001000PLTV/88888888/224/3221230445/1.m3u8
CCTV-9,http://111.48.34.138/000000001000PLTV/88888888/224/3221230330/1.m3u8
CCTV-10,http://111.48.34.138/000000001000PLTV/88888888/224/3221230491/1.m3u8
CCTV-11,http://111.48.34.138/000000001000PLTV/88888888/224/3221230444/1.m3u8
CCTV-12,http://111.48.34.138/000000001000PLTV/88888888/224/3221230363/1.m3u8
CCTV-13,http://111.48.34.138/000000001000PLTV/88888888/224/3221230493/1.m3u8
CCTV-14,http://111.48.34.138/000000001000PLTV/88888888/224/3221230447/1.m3u8
CCTV-15,http://111.48.34.138/000000001000PLTV/88888888/224/3221230495/1.m3u8
CCTV-16,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000612
CCTV17,http://111.48.34.138/000000001000PLTV/88888888/224/3221229831/1.m3u8
卫视频道,#genre#
浙江卫视4K,rtsp://111.48.34.138:1554/170000004112/HBGD1161024372223684608826694195
四川卫视4K,rtsp://111.48.34.138:1554/170000004112/HBGD1161024782644719616300513999
湖南卫视4K,rtsp://111.48.34.138:1554/170000004112/HBGD1161024675055546368175052165
深圳卫视4K,rtsp://111.48.34.138:1554/170000004112/HBGD1134934009353457664504975325
北京卫视4k,rtsp://111.48.34.138:1554/170000004112/HBGD1099046553413197824376375621
东方卫视4K,rtsp://111.48.34.138:1554/170000004112/HBGD1161023780712493056528252825
山东卫视4K,rtsp://111.48.34.138:1554/170000004112/HBGD1161024518465400832464405079
江苏卫视4K,rtsp://111.48.34.138:1554/170000004112/HBGD1161024061978324992408004965
广东4K,http://111.48.34.138/000000001000PLTV/88888888/224/3221230606/1.m3u8
湖北卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230509/1.m3u8
湖南卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229983/1.m3u8
浙江卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230460/1.m3u8
江苏卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230497/1.m3u8
东方卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230448/1.m3u8
北京卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230501/1.m3u8
广东卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230503/1.m3u8
深圳卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230454/1.m3u8
黑龙江卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230462/1.m3u8
天津卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230458/1.m3u8
山东卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230456/1.m3u8
安徽卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230505/1.m3u8
辽宁卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230464/1.m3u8
东南卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230507/1.m3u8
江西卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230519/1.m3u8
重庆卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230139/1.m3u8
贵州卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230138/1.m3u8
广西卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230328/1.m3u8
海南卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230141/1.m3u8
河南卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230511/1.m3u8
四川卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230140/1.m3u8
吉林卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230361/1.m3u8
甘肃卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230521/1.m3u8
河北卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230143/1.m3u8
陕西卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230525/1.m3u8
山西卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230038/1.m3u8
云南卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230637/1.m3u8
西藏卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230624/1.m3u8
内蒙古卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230039/1.m3u8
新疆卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230659/1.m3u8
青海卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230101/1.m3u8
宁夏卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230036/1.m3u8
三沙卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230410/1.m3u8
兵团卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230032/1.m3u8
山东教育卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230459/1.m3u8
厦门卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230527/1.m3u8
延边卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230557/1.m3u8
康巴卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230555/1.m3u8
湖北频道,#genre#
湖北经视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230388/1.m3u8
湖北综合,http://111.48.34.138/000000001000PLTV/88888888/224/3221230439/1.m3u8
湖北垄上,http://111.48.34.138/000000001000PLTV/88888888/224/3221230390/1.m3u8
湖北公共新闻,http://111.48.34.138/000000001000PLTV/88888888/224/3221230441/1.m3u8
湖北影视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230404/1.m3u8
湖北教育,http://111.48.34.138/000000001000PLTV/88888888/224/3221230406/1.m3u8
湖北生活,http://111.48.34.138/000000001000PLTV/88888888/224/3221230457/1.m3u8
数字频道,#genre#
CHC家庭影院,http://111.48.34.138/000000001000PLTV/88888888/224/3221230481/1.m3u8
CHC动作电影,http://111.48.34.138/000000001000PLTV/88888888/224/3221230434/1.m3u8
CHC影迷电影,http://111.48.34.138/000000001000PLTV/88888888/224/3221230483/1.m3u8
欢笑剧场,http://111.48.246.74/000000001000PLTV/88888888/224/3221230646/1.m3u8
哈哈炫动,http://111.48.34.138/000000001000PLTV/88888888/224/3221230578/1.m3u8
嘉佳卡通,http://111.48.34.138/000000001000PLTV/88888888/224/3221230580/1.m3u8
卡酷少儿,http://111.48.34.138/000000001000PLTV/88888888/224/3221230428/1.m3u8
金鹰卡通,http://111.48.34.138/000000001000PLTV/88888888/224/3221230468/1.m3u8
金鹰纪实,http://111.48.34.138/000000001000PLTV/88888888/224/3221230420/1.m3u8
新动漫,http://111.48.34.138/000000001000PLTV/88888888/224/3221230487/1.m3u8
动漫秀场,http://111.48.34.138/000000001000PLTV/88888888/224/3221230621/1.m3u8
金色学堂,http://111.48.34.138/000000001000PLTV/88888888/224/3221230586/1.m3u8
都市剧场,http://111.48.34.138/000000001000PLTV/88888888/224/3221230619/1.m3u8
法治天地,http://111.48.34.138/000000001000PLTV/88888888/224/3221230609/1.m3u8
生活时尚,http://111.48.34.138/000000001000PLTV/88888888/224/3221230617/1.m3u8
东方财经,http://111.48.34.138/000000001000PLTV/88888888/224/3221230613/1.m3u8
快乐垂钓,http://111.48.34.138/000000001000PLTV/88888888/224/3221230479/1.m3u8
茶频道,http://111.48.34.138/000000001000PLTV/88888888/224/3221230432/1.m3u8
乐游,http://111.48.34.138/000000001000PLTV/88888888/224/3221230595/1.m3u8
游戏风云,http://111.48.34.138/000000001000PLTV/88888888/224/3221230623/1.m3u8
风云足球,http://111.48.34.138/000000001000PLTV/88888888/224/3221230482/1.m3u8
高尔夫网球,http://111.48.34.138/000000001000PLTV/88888888/224/3221230535/1.m3u8
